GEOID,hhinc,less_than_hs,hs,some_college,college_deg,grad_deg,over_25,single_parent,own_occ,oth_lang,children,rent_burdened,white,black,indig,asian,othrace,multi,ltnx,gini,unemp,povrate,cpovrate,ed_attain
34017006700,21865,317,792,418,218,40,1785,51.65,12.43,48.83,1119,26.02,9.4,42.3,0,0.2,0,2.2,45.9,0.48,8.49,36.8,40.9,47.36
34017006800,46133,471,908,606,273,111,2369,60.56,29.97,40.82,1065,13.28,4.5,57.9,0.5,5.1,0,5.1,26.8,0.43,4.5,21,27.5,48.56
34017006900,NA,0,13,8,16,7,44,59.09,59.09,52.17,22,0,61.8,0,0,0,0,5.9,32.4,0.57,0,38.2,59.1,67.73
34017007000,115227,455,596,505,1287,1019,3862,15.44,19.57,41.05,544,17.39,29.5,11.1,0,29.9,0.6,2.7,26.2,0.48,6.64,8.3,3.7,69.42
34017007100,69318,226,395,454,812,362,2249,1.27,22.67,49.43,471,11.77,26.1,8.1,0,30.2,2,3.6,30,0.47,1.61,10.5,0,66.13
34017007200,167045,173,175,184,739,657,1928,1.32,49.15,40.67,456,8.58,44.4,7,0,26.7,1,1.1,19.9,0.42,4.18,4.4,1.3,75.89
34017007300,160714,28,13,159,1266,1146,2612,1.61,22.08,35.3,311,10.61,46.2,2.3,0,37.8,0.5,4.1,9.1,0.34,2.33,4.6,0,86.72
34017007400,182881,35,229,217,1896,1881,4258,14.89,20.25,35.4,712,8.04,52.7,5.7,0,26.1,0,4.6,10.9,0.4,3.67,1.6,1.5,85.17
34017007500,110927,195,583,521,1830,1752,4881,17.17,20.51,40.25,1095,9.38,37.4,7.9,0,33.5,0.4,3.6,17.2,0.47,1.67,6.5,1.1,77.87
34017007600,191691,67,200,400,2604,4032,7303,2.37,20.3,58.09,845,12.79,35.6,1.9,1,49.6,0,3.5,8.3,0.39,1.05,5.4,3.1,88.3
34017007700,149127,47,213,301,2336,4211,7108,5.09,15.4,73.87,963,11.15,20.1,2,0,69.4,0.4,3.1,4.9,0.47,3.6,15.5,0,89.41
34017007800,53125,222,323,156,630,308,1639,53.16,1.01,44.92,316,17.75,39.5,13.4,0,18.9,0,1.6,26.6,0.57,4.83,28.6,51.1,65.85
34017005600,55125,416,1014,565,582,118,2695,32.67,40.64,42.25,1148,16.65,7,41.6,0,18.1,0.7,0.8,31.9,0.48,7.79,18,15.7,52.37
34017004101,62618,662,1065,738,1085,700,4250,36.23,31.37,57.04,1634,9.72,19.9,31.2,0,15.7,0,3,30.1,0.56,8.27,20.3,32.4,60.45
34017004500,36026,618,1047,693,309,188,2855,41.87,30.54,43.26,1199,22.04,8,56.4,0.7,1.3,0,0,33.7,0.51,14.23,33.5,48.9,48.81
34017005300,44052,379,799,518,242,138,2076,57.42,41.45,30.62,1017,15.7,4,71.7,0,0.1,0.4,0.8,23,0.48,14.44,20.2,33.6,49.99
34017002000,55625,448,566,362,1152,592,3120,23.72,7.84,74.49,607,20.78,19.9,3.1,0.9,42.2,0.9,1.3,31.8,0.47,8.41,25.5,27.6,65.6
34017003000,40060,311,515,372,540,253,1991,31.46,9.55,58.93,426,18.3,24.6,15.8,0.2,22.9,0.8,0,35.8,0.49,8.49,20.7,20.1,59.09
34017005900,80534,1053,1264,1153,1661,476,5607,43,51.12,49.18,1328,12.99,17.1,23.5,0,38.1,1.7,2.8,16.8,0.5,8.27,12.7,15.2,57.3
34017006300,45625,517,1230,714,360,277,3098,34.13,34.89,45.98,1052,21.8,6.3,39,0.2,3.5,0.8,2.3,48,0.46,6.71,29.1,52.4,51.28
34017005200,42817,456,956,580,507,146,2645,62.43,19.85,27.42,1259,12.19,15.4,59.2,0,5.9,0,0.4,19.1,0.47,14.54,41.3,72,51.92
34017004600,39129,531,548,332,214,113,1738,49.22,24.23,63.33,768,19.98,9.1,27.3,0,1.5,0,0.5,61.7,0.51,8.22,25,21.7,46.54
34017004800,55519,385,966,466,768,274,2859,32.82,39.93,57.99,850,15.02,18.2,30.2,1,23.8,3,1,22.8,0.43,6.73,13.8,18.4,57.06
34017004900,58550,238,1034,602,700,259,2833,57.8,35.94,49.24,782,16.12,7.3,42.3,1.4,23.2,0.2,0.9,24.6,0.43,7.05,17.2,23.7,57.94
34017000300,54638,479,680,607,622,318,2706,21,32.6,61.53,757,15.86,23.8,6.9,0,14.6,0.3,0,54.5,0.48,3.91,12,18.8,57.19
34017000800,75648,317,686,479,769,487,2738,30,29.92,52.06,540,12.69,37.9,5.9,0,12.6,0,1.6,42,0.44,5.81,17.6,21.3,63.09
34017001000,69375,176,349,256,519,231,1531,17.39,26.65,67.71,391,17.39,21.2,2.6,0,39.6,1.7,0.2,34.7,0.47,1.86,10.1,11.8,63.66
34017001800,33162,418,683,389,790,427,2707,26.16,10.54,80.55,822,16.34,19.2,8.4,0,39.9,0,1.8,30.6,0.52,5.77,26.2,42.1,60.92
34017001202,41875,238,214,197,227,79,955,32.5,20.58,62.43,240,14.75,12.3,12.9,1.2,22,0,2.7,48.9,0.47,7.45,13.4,12.1,53.61
34017002300,127904,134,148,254,833,751,2120,3.3,41.84,33.02,273,8.56,43,10.6,0,24.7,0.7,5.1,16,0.42,0.92,5.1,3.3,78.1
