GEOID,hhinc,less_than_hs,hs,some_college,college_deg,grad_deg,over_25,single_parent,own_occ,oth_lang,children,rent_burdened,white,black,indig,asian,othrace,multi,ltnx,gini,unemp,povrate,cpovrate
34017004000,75976,457,1438,727,1254,236,4112,38.17980022197558,43.584070796460175,63.8739431206764,901,16.371681415929203,8.2,18.9,0,41,4,3.4,24.4,0.3901,4.45,4.7,13.1
34017006000,45464,395,1054,954,196,128,2727,62.23849372384937,26.420260095824776,32.12435233160622,956,23.06639288158795,1.2,59.7,0,4.8,4.2,1.6,28.4,0.4405,7.81,20.1,24.2
34017000400,62750,404,515,478,747,341,2485,18.530701754385966,49.84662576687116,71.37692075926483,912,7.898773006134969,17,8.9,0,36.7,0.4,3.4,33.5,0.3972,5.22,19.9,34.2
34017001100,72476,347,784,915,1002,485,3533,28.27324478178368,38.1837493361657,59.79404031551271,1054,8.709506107275624,30.4,3.7,0,23.3,0.1,1.3,41.2,0.4586,3.73,14.1,20.5
34017001701,62148,289,689,567,876,454,2875,28.604832424006236,29.415715245130958,60.68608094768015,1283,19.408999328408328,15.9,19.4,0,27.2,0.5,4.5,32.4,0.4783,5.25,13.9,14.5
34017006400,118125,106,239,334,838,916,2433,13.793103448275861,26.804123711340207,33.26923076923077,348,10.034364261168385,49.7,5.6,0,16.6,0,4.3,23.8,0.4899,5.3,4.2,0
34017006500,71394,157,230,368,463,348,1566,39.69631236442516,34.858812074001946,38.40503672612802,461,17.526777020447906,33.8,9,1.8,12.9,0.4,11.9,30.1,0.5214,5.13,15.3,20.6
34017000902,70223,658,693,688,1499,990,4528,26.480086114101187,23.167044595616023,66.91202872531419,929,14.474678760393045,24.2,5.5,0,48.7,2.7,1.5,17.3,0.4769,8.88,20.2,20.3
34017006600,99091,88,168,111,446,168,981,2.4475524475524475,52.594339622641506,72.58687258687259,286,10.849056603773585,12.1,2.3,0,76.9,0,1.5,7.1,0.4149,2.67,6.9,12.9
34017006700,21865,317,792,418,218,40,1785,51.653261840929396,12.427022518765638,48.83234576507494,1119,26.02168473728107,9.4,42.3,0,0.2,0,2.2,45.9,0.4822,8.49,36.8,40.9
34017006800,46133,471,908,606,273,111,2369,60.56338028169014,29.968203497615264,40.81689358155043,1065,13.275039745627982,4.5,57.9,0.5,5.1,0,5.1,26.8,0.4347,4.5,21,27.5
34017006900,NA,0,13,8,16,7,44,59.09090909090909,59.09090909090909,52.17391304347826,22,0,61.8,0,0,0,0,5.9,32.4,0.567,0,38.2,59.1
34017007000,115227,455,596,505,1287,1019,3862,15.441176470588236,19.573283858998145,41.05123087159016,544,17.393320964749538,29.5,11.1,0,29.9,0.6,2.7,26.2,0.4753,6.64,8.3,3.7
34017007100,69318,226,395,454,812,362,2249,1.2738853503184715,22.66982622432859,49.43100995732574,471,11.769352290679306,26.1,8.1,0,30.2,2,3.6,30,0.4696,1.61,10.5,0
34017007200,167045,173,175,184,739,657,1928,1.3157894736842104,49.152542372881356,40.67487460100319,456,8.58050847457627,44.4,7,0,26.7,1,1.1,19.9,0.4172,4.18,4.4,1.3
34017007300,160714,28,13,159,1266,1146,2612,1.607717041800643,22.082228116710876,35.300709749719836,311,10.610079575596817,46.2,2.3,0,37.8,0.5,4.1,9.1,0.337,2.33,4.6,0
34017007400,182881,35,229,217,1896,1881,4258,14.887640449438203,20.24661893396977,35.39766702014846,712,8.035003977724742,52.7,5.7,0,26.1,0,4.6,10.9,0.3984,3.67,1.6,1.5
34017007500,110927,195,583,521,1830,1752,4881,17.168949771689498,20.50524934383202,40.252454417952315,1095,9.383202099737533,37.4,7.9,0,33.5,0.4,3.6,17.2,0.4728,1.67,6.5,1.1
34017007600,191691,67,200,400,2604,4032,7303,2.366863905325444,20.30316949931098,58.085133580467854,845,12.792834175470832,35.6,1.9,1,49.6,0,3.5,8.3,0.3949,1.05,5.4,3.1
34017007700,149127,47,213,301,2336,4211,7108,5.088265835929388,15.398758905998623,73.87366192212681,963,11.146862790163182,20.1,2,0,69.4,0.4,3.1,4.9,0.4661,3.6,15.5,0
34017007800,53125,222,323,156,630,308,1639,53.16455696202531,1.0141987829614605,44.91803278688525,316,17.748478701825558,39.5,13.4,0,18.9,0,1.6,26.6,0.5663,4.83,28.6,51.1
34017005600,55125,416,1014,565,582,118,2695,32.66550522648083,40.64056939501779,42.25352112676056,1148,16.654804270462634,7,41.6,0,18.1,0.7,0.8,31.9,0.4756,7.79,18,15.7
34017004101,62618,662,1065,738,1085,700,4250,36.23011015911873,31.372549019607842,57.03958069763239,1634,9.720483938256153,19.9,31.2,0,15.7,0,3,30.1,0.5636,8.27,20.3,32.4
34017004500,36026,618,1047,693,309,188,2855,41.86822351959967,30.54156171284635,43.26010983524713,1199,22.040302267002517,8,56.4,0.7,1.3,0,0,33.7,0.5092,14.23,33.5,48.9
34017005300,44052,379,799,518,242,138,2076,57.42379547689283,41.44620811287478,30.61941251596424,1017,15.696649029982362,4,71.7,0,0.1,0.4,0.8,23,0.4802,14.44,20.2,33.6
34017002000,55625,448,566,362,1152,592,3120,23.72322899505766,7.84431137724551,74.4943525085369,607,20.778443113772454,19.9,3.1,0.9,42.2,0.9,1.3,31.8,0.4741,8.41,25.5,27.6
34017003000,40060,311,515,372,540,253,1991,31.455399061032864,9.550561797752808,58.925686591276246,426,18.298555377207062,24.6,15.8,0.2,22.9,0.8,0,35.8,0.4943,8.49,20.7,20.1
34017005900,80534,1053,1264,1153,1661,476,5607,42.99698795180723,51.119104716227014,49.18099918099918,1328,12.989608313349322,17.1,23.5,0,38.1,1.7,2.8,16.8,0.5004,8.27,12.7,15.2
34017006300,45625,517,1230,714,360,277,3098,34.125475285171106,34.89042675893887,45.97914252607184,1052,21.79930795847751,6.3,39,0.2,3.5,0.8,2.3,48,0.4611,6.71,29.1,52.4
34017005200,42817,456,956,580,507,146,2645,62.430500397140584,19.84687868080094,27.419354838709676,1259,12.190812720848058,15.4,59.2,0,5.9,0,0.4,19.1,0.465,14.54,41.3,72
34017004600,39129,531,548,332,214,113,1738,49.21875,24.225028702640643,63.33471588552469,768,19.97703788748565,9.1,27.3,0,1.5,0,0.5,61.7,0.509,8.22,25,21.7
34017004800,55519,385,966,466,768,274,2859,32.82352941176471,39.93265993265993,57.98799657044869,850,15.016835016835017,18.2,30.2,1,23.8,3,1,22.8,0.4263,6.73,13.8,18.4
34017004900,58550,238,1034,602,700,259,2833,57.8005115089514,35.939643347050755,49.23898531375167,782,16.117969821673526,7.3,42.3,1.4,23.2,0.2,0.9,24.6,0.4267,7.05,17.2,23.7
34017000300,54638,479,680,607,622,318,2706,21.003963011889034,32.59633607075173,61.53034300791557,757,15.855969677826911,23.8,6.9,0,14.6,0.3,0,54.5,0.4774,3.91,12,18.8
34017000800,75648,317,686,479,769,487,2738,30,29.922279792746114,52.06435944140863,540,12.694300518134716,37.9,5.9,0,12.6,0,1.6,42,0.4372,5.81,17.6,21.3
34017001000,69375,176,349,256,519,231,1531,17.391304347826086,26.64796633941094,67.71488469601678,391,17.391304347826086,21.2,2.6,0,39.6,1.7,0.2,34.7,0.4727,1.86,10.1,11.8
34017001800,33162,418,683,389,790,427,2707,26.155717761557177,10.53627760252366,80.55251641137856,822,16.340694006309146,19.2,8.4,0,39.9,0,1.8,30.6,0.5242,5.77,26.2,42.1
34017001202,41875,238,214,197,227,79,955,32.5,20.58287795992714,62.432223082881485,240,14.754098360655737,12.3,12.9,1.2,22,0,2.7,48.9,0.4697,7.45,13.4,12.1
34017002300,127904,134,148,254,833,751,2120,3.296703296703297,41.83583406884378,33.023049645390074,273,8.561341571050308,43,10.6,0,24.7,0.7,5.1,16,0.4178,0.92,5.1,3.3
